event_date,actor1,assoc_actor_1,actor2,assoc_actor_2,fatalities,interaction,admin1,admin2,latitude,longitude,notes
2016-11-22,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Hebron,31.4459,35.0944,"On 22 November 2016, Israeli settlers set fire to a Palestinian-owned home in Masafer Yuta (Hebron, West Bank) and causing financial damages to the house. Neither Injuries nor fatalities were reported. No reports of whether civilians were occupying the house at the time."
2016-12-02,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Nablus,32.0854,35.2578,"Friday 2nd of Dec 2016, Israeli settlers assaulted an old Palestinian near the al-Sawiya village south of Nablus. He was taken to hospital afterwards with injuries."
2016-12-11,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Qalqilya,32.1897,34.9706,"Sunday 11th of Dec 2016, an Israeli settler purposely hit a Palestinian child with their vehicle in eastern Qalqilya province. The child sustained serious wounds."
2016-12-16,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Tubas,32.2519,35.5272,"Land seizure: On 16 December 2016, Israeli settlers established the Um Zuka outpost on Palestinian-owned land near the Hemdat settlement (Tubas, West Bank) ."
2016-12-21,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Ramallah and Al Bireh,31.9763,35.2613,"Property destruction: On 21 December 2016, Israeli settlers bulldozed private Palestinian land in Silwad village. The settlers are planning to move settlers from the dismantled settlement of Amona to this new area."
2017-01-01,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Jericho,31.8066,35.4989,"Land seizure: Around 1 January 2017 (as reported), Israeli settlers established the Kedem Arava outpost (Jericho, West Bank) on Palestinian-owned land near Beit Ha'arava."
2017-01-06,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Nablus,32.2211,35.2544,"A 40 year-old Palestinian man was seriously injured after he was run over by an Israeli settler car south of Nablus city in the northern occupied West Bank on Friday, according to Israeli police and Hebrew-language media."
2017-01-07,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Hebron,31.5294,35.0938,"On 7 January 2017, Israeli settler rioters threw rocks at a Palestinian's house in Tal Remieda area of Hebron city. The Palestinian had video recorded an Israeli soldier shooting and killing an unarmed Palestinian."
2017-01-08,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Nablus,32.1522,35.2567,"Israeli settlers assaulted and injured many Palestinian civilians near the village of Huwwara, south of Nablus, as well as assaulted with stones multiple Palestinian vehicles at Nablus-Ramallah road. Settlers also physically assaulted and beat up Palestinian passengers near the two villages after forcing them to get out of their vehicles. Some of the passengers sustained injuries and bruises due to being beat up by the settlers."
2017-01-20,Rioters (Israel),Settlers (Israel),Civilians (Palestine),Farmers (Israel),0.0,Rioters-Civilians,West Bank,Ramallah and Al Bireh,32.0354,35.2856,"On 20 January 2017, four Jewish settler teens cursed, threatened, and threw stones at Palestinian farmers in Turmus Ayya (Ramallah and Al Bireh, West Bank). Three days later, the teens were indicted on charges of aggravated assault with racist motives."
2017-01-30,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.0854,35.2578,"Israeli settlers injured a Palestinian man while throwing stones at Palestinian vehicles traveling on the main road between the occupiedWest Bankcities of Ramallah and Nablus on Monday afternoon. The man was wounded when Israeli settlers threw stones at his minibus near the village of al-Sawiya, and was taken to a hospital for treatment."
2017-02-07,Settlers (Israel),,Civilians (Palestine),Journalists (Palestine),0.0,Political militia-Civilians,West Bank,Ramallah and Al Bireh,31.9167,35.2333,At least five Israeli settlers Tuesday afternoon assaulted a Palestinian photojournalist with rocks and batons while he was driving on a road near the illegal Israeli settlement of Ofra in the occupied West Bank district of Ramallah.
2017-02-08,Settlers (Israel),,Civilians (Palestine),,1.0,Political militia-Civilians,West Bank,Bethlehem,31.6598,35.1432,"An elderly Palestinian died after being run over by an Israeli settler on Wednesday near the illegal Israeli settlement of Neve Daniel in the occupied West Bank district of Bethlehem. An 85-year-old resident of the village of al-Khader was killed after being run over on Route 60, an Israeli bypass road that cuts through the occupied Palestinian territory and connects illegal settlements to Israel."
2017-02-10,Military Forces of Israel (2009-2021),Settlers (Israel),Civilians (Palestine),,0.0,External/Other forces-Civilians,West Bank,Tubas,32.3209,35.3699,"Three Israeli settlers and two Israeli soldiers reportedly cuffed and beat three Palestinian shepherds who were grazing their herds Friday morning, near an Israeli settler outpost in the northern Jordan Valley in the occupied West Bank."
2017-02-16,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.6233,35.1045,A Palestinian man was injured Thursday evening after being hit by an Israeli settler's vehicle at the entrance of the town of Beit Ummar in the southern occupied West Bank district of Hebron.
2017-02-20,Settlers (Israel),,Civilians (Palestine),,1.0,Political militia-Civilians,West Bank,Ramallah and Al Bireh,31.8996,35.2042,"An Israeli settler has reportedly run over a Palestinian worker with his vehicle near the Mudi'in settlement outpost, killing him on Monday morning."
